model_name,epoch,train_loss,val_loss,train_accuracy_pct,val_accuracy_pct,epoch_seconds
vit_patch4_dim256_d4_h4,1,4.010154653472901,3.7590344882965088,7.828,11.36,23.01563910499999
vit_patch4_dim256_d4_h4,2,3.738646240463257,3.6655954280853273,11.85,13.5,22.786488597000016
vit_patch4_dim256_d4_h4,3,3.6408904833984375,3.556375916671753,13.436,14.62,22.918571247999807
vit_patch4_dim256_d4_h4,4,3.6060518478393555,3.5076636474609373,14.038,16.03,23.130307794999908
vit_patch4_dim256_d4_h4,5,3.554222047119141,3.5227112022399902,14.9,16.13,23.087702563999983
vit_patch4_dim256_d4_h4,6,3.5356166079711913,3.4256777488708496,15.396,17.34,22.93436540200014
vit_patch4_dim256_d4_h4,7,3.4367943350219727,3.465145537185669,17.226,17.02,22.914715134000062
vit_patch4_dim256_d4_h4,8,3.438895250701904,3.3488035385131836,17.018,18.73,23.025333547000173
vit_patch4_dim256_d4_h4,9,3.3478521816253664,3.299602426147461,18.77,19.72,23.19442611999966
vit_patch4_dim256_d4_h4,10,3.325062321166992,3.283429249572754,19.102,20.01,23.141070801000296
vit_patch4_dim512_d8_h8,1,4.163826890563965,4.007716452026367,5.944,7.92,107.02126510300013
vit_patch4_dim512_d8_h8,2,4.05413677734375,4.059492314147949,7.33,7.38,107.56656796800007
vit_patch4_dim512_d8_h8,3,4.106808027954101,4.069308562469482,6.818,7.49,107.15948014700007
vit_patch4_dim512_d8_h8,4,4.165554401855469,4.0930292022705075,6.078,7.52,106.82385150299979
vit_patch4_dim512_d8_h8,5,4.114456008300781,4.110064067840576,6.718,6.8,106.90883585700021
vit_patch4_dim512_d8_h8,6,4.221883776855469,4.258003187561036,5.292,5.31,106.50997001299993
vit_patch4_dim512_d8_h8,7,4.27132603729248,4.327234875488282,4.732,4.41,106.3078358329999
vit_patch4_dim512_d8_h8,8,4.324878941497802,4.281421711730957,4.164,4.59,106.13009120599963
vit_patch4_dim512_d8_h8,9,4.313661669006348,4.356432258605957,4.196,4.17,106.24291254299987
vit_patch4_dim512_d8_h8,10,4.303222235870361,4.323156537628174,4.134,4.51,106.47853429800034
vit_patch8_dim256_d4_h4,1,4.154257905578613,4.00724998626709,6.188,7.96,12.24195939099991
vit_patch8_dim256_d4_h4,2,4.000918941192627,3.9587262699127197,8.094,9.19,12.183780096999726
vit_patch8_dim256_d4_h4,3,3.973579619140625,3.9668414222717283,8.466,8.46,12.260276859999976
vit_patch8_dim256_d4_h4,4,3.9579822706604,3.9308271003723143,8.45,9.71,12.19524922499977
vit_patch8_dim256_d4_h4,5,3.9115715467071532,3.84648243560791,9.224,10.36,12.176825316999839
vit_patch8_dim256_d4_h4,6,3.8833387467956544,3.893835856628418,9.588,9.96,12.184691604999898
vit_patch8_dim256_d4_h4,7,3.908607676391602,3.883723587036133,9.174,9.77,12.211677108000003
vit_patch8_dim256_d4_h4,8,3.908318946380615,3.8898881649017336,9.316,9.28,12.25679768000009
vit_patch8_dim256_d4_h4,9,3.912910639266968,3.8705527877807615,9.398,10.03,12.242707365000115
vit_patch8_dim256_d4_h4,10,3.9021818753051756,3.8850593700408935,9.486,9.68,12.216359969000223
vit_patch8_dim512_d8_h8,1,4.2701684066772465,4.12911593170166,4.846,6.71,36.68250766700021
vit_patch8_dim512_d8_h8,2,4.134795260848999,4.119982503509521,6.268,6.71,36.93295548600008
vit_patch8_dim512_d8_h8,3,4.120978188171387,4.059570915985107,6.526,6.94,36.82377462900013
vit_patch8_dim512_d8_h8,4,4.149263395385742,4.235757546234131,6.292,4.89,36.852437279999776
vit_patch8_dim512_d8_h8,5,4.265405020141602,4.248596096801758,4.782,4.97,36.99796280299961
vit_patch8_dim512_d8_h8,6,4.266970625152588,4.2234879501342775,4.744,5.56,37.01736575599989
vit_patch8_dim512_d8_h8,7,4.234056184997558,4.217397531127929,5.136,5.57,37.10791270200025
vit_patch8_dim512_d8_h8,8,4.22585454711914,4.255924514007568,5.336,5.17,37.09425449499986
vit_patch8_dim512_d8_h8,9,4.234782855834961,4.200316049194336,5.258,6.07,53.430615894999846
vit_patch8_dim512_d8_h8,10,4.227836342468262,4.269351300048828,5.386,4.95,74.04971024099996
resnet18,1,3.6877698760986326,3.1192805068969727,13.178,22.61,61.3393428950003
resnet18,2,2.8334092821884154,2.566660386657715,27.594,34.23,61.005066506000276
resnet18,3,2.2946131188964842,2.2455061782836916,38.774,41.19,61.29802814599998
resnet18,4,1.9576295386505127,1.9855345794677735,46.258,45.93,61.38528904399982
resnet18,5,1.7189214408111573,1.746860898590088,51.876,52.44,61.09444404800024
resnet18,6,1.5345220590972901,1.7188161556243897,56.124,52.51,61.4018870269997
resnet18,7,1.3888195107650756,1.5544544193267822,59.872,57.42,61.3322683589995
resnet18,8,1.2646287265205383,1.557204190826416,63.138,57.06,61.00429665899992
resnet18,9,1.1457901078796386,1.4205008827209473,66.244,60.79,61.45897313000023
resnet18,10,1.048969123954773,1.3918816534042358,68.816,61.2,61.04419268000038
